id,outbreak_data_id,covidence_id,pathogen,outbreak_duration_months,ongoing,outbreak_country,outbreak_location,outbreak_location_type,outbreak_source,pre_outbreak,cases_confirmed,cases_suspected,cases_unspecified,cases_asymptomatic,asymptomatic_transmission,cases_severe,deaths,population_size,type_cases_sex_disagg,male_cases,prop_male_cases,female_cases,prop_female_cases,outbreak_notes,cases_mode_detection,outbreak_probable,outbreak_start_day,outbreak_start_month,outbreak_start_year,outbreak_end_day,outbreak_end_month,outbreak_end_year
b7b158941eec2f174150913b12b225d9,a549a08e5d2eea61e88f1466d1f1fa90,207,Nipah virus,NA,FALSE,Malaysia,Negri Sembilan State,NA,Domestic animal,NA,NA,94,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,ratio of males to females is 4.5 to 1. 110 -91 confirmed 19 suspected cases?,Symptoms,NA,NA,2,1999,NA,6,1999
37afa1425785fb46fdb8bede07252912,c77daab5ee7c46912afcced79f4d1cff,270,Nipah virus,NA,FALSE,Malaysia,NA,country,Domestic animal,Disease-free baseline,NA,NA,265,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,some PCR testing only,Symptoms,NA,NA,9,1998,NA,NA,NA
37afa1425785fb46fdb8bede07252912,886c3d1ab3e1a8144db76b19f2fb02a7,270,Nipah virus,NA,FALSE,Singapore,NA,country,Domestic animal,Disease-free baseline,NA,NA,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Some PCR testing,Symptoms,NA,NA,3,1999,NA,NA,NA
bfb6c0d771f5126e70ed4a63a1576632,847865f96ccf3b416693377dc4dd7195,271,Nipah virus,NA,FALSE,Malaysia,NA,NA,"Domestic animal,Unknown",Disease-free baseline,NA,NA,283,NA,NA,NA,109,NA,Unspecified,231,0.816,NA,NA,Malaysia - national level,Unspecified,NA,29,9,1998,NA,12,1999
bfb6c0d771f5126e70ed4a63a1576632,c04d6696b5d86d86ad930e49137045ad,271,Nipah virus,NA,FALSE,Malaysia,Negeri Sembilan,State,"Domestic animal,Unknown",Disease-free baseline,NA,NA,231,NA,NA,NA,86,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,NA,29,9,1998,NA,12,1999
bfb6c0d771f5126e70ed4a63a1576632,ecb0405db69678f6ca77c132b679f385,271,Nipah virus,NA,FALSE,Malaysia,Perak,State,"Domestic animal,Unknown",Disease-free baseline,NA,NA,28,NA,NA,NA,15,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,NA,29,8,1998,NA,12,1999
bfb6c0d771f5126e70ed4a63a1576632,168d985b9a2812e490d95dfaf95c2b85,271,Nipah virus,NA,FALSE,Malaysia,Selangor,State,"Domestic animal,Unknown",Disease-free baseline,NA,NA,24,NA,NA,NA,8,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,NA,29,9,1998,NA,12,1999
9b99d6db025beb4bbd220f4b248e28da,ff7cad28ddc6d4d0d641377877308f7d,291,Nipah virus,NA,FALSE,Singapore,NA,NA,Domestic animal,Disease-free baseline,22,NA,NA,10,NA,NA,NA,NA,Confirmed,22,1,0,0,import of pigs from Malaysia,Molecular (PCR etc),NA,13,3,1999,NA,NA,NA
093d82ab8005a99f7ba881b1ee8f6e23,ad50eaa230d61deefa0cee7d566364e9,292,Nipah virus,NA,FALSE,India,Siliguri; West Bangal,"city, state",Unknown,Disease-free baseline,10,56,NA,NA,FALSE,NA,NA,500000,NA,NA,NA,NA,NA,Paper reports a CFR of 74% but does not state how many deaths. Ratio of 1.4 males to females in sample. Population size is approximate.,Confirmed + Suspected,NA,31,1,2001,23,2,2001
14de2766f653278e3438542a3abf81e8,8e83a3fc50269b7c11ea5c9f1632dc2e,851,Nipah virus,NA,FALSE,Bangladesh,Faridpur,district,"Domestic animal,Date palm sap",NA,NA,36,NA,NA,FALSE,NA,27,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,NA,NA,2,2004,NA,4,2004
14de2766f653278e3438542a3abf81e8,05f1eca140a15f7190f43d691abc2f96,851,Nipah virus,NA,FALSE,Bangladesh,Meherpur,district,"Domestic animal,Date palm sap",Disease-free baseline,NA,13,NA,NA,FALSE,NA,9,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,NA,NA,4,2001,NA,5,2001
14de2766f653278e3438542a3abf81e8,ecbf1f7a6753a3bf4a353d4c5b51859a,851,Nipah virus,NA,FALSE,Bangladesh,Naogaon,district,"Domestic animal,Date palm sap",NA,NA,12,NA,NA,FALSE,NA,8,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,NA,NA,1,2003,NA,1,2003
14de2766f653278e3438542a3abf81e8,4cdcf1561a176acd3e126febddefe615,851,Nipah virus,NA,FALSE,Bangladesh,Rajbari; 7 Other Northwestern Districts,districts,"Domestic animal,Date palm sap",NA,NA,31,NA,NA,FALSE,NA,23,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,NA,NA,1,2004,NA,4,2004
61c78610d37f8d35b118f478dc079668,7f36ff201079eb80fc3dce0b2069cd16,896,Nipah virus,5,FALSE,Bangladesh,NA,NA,Date palm sap,NA,3,1,NA,NA,FALSE,NA,2,NA,NA,1,NA,2,NA,"First cluster of cases within the outbreak, unspecified sex of 4th Case",Confirmed + Suspected,NA,NA,12,2013,NA,4,2014
61c78610d37f8d35b118f478dc079668,a3d5c892acf2ef494e04c8fab5f5f008,896,Nipah virus,5,FALSE,Bangladesh,NA,NA,Date palm sap,NA,3,1,NA,NA,FALSE,NA,4,NA,NA,NA,NA,NA,NA,Second cluster of cases within the outbreak,Confirmed + Suspected,NA,NA,12,2013,NA,4,2014
61c78610d37f8d35b118f478dc079668,248b040dfcc3845047fa5be3b0620422,896,Nipah virus,5,FALSE,Bangladesh,NA,NA,Date palm sap,NA,1,1,NA,NA,TRUE,NA,2,NA,NA,NA,NA,NA,NA,Third cluster of cases within the outbreak,Confirmed + Suspected,NA,NA,12,2013,NA,4,2014
61c78610d37f8d35b118f478dc079668,d172323c02e2ea1e4ab321224e84d0d4,896,Nipah virus,5,FALSE,Bangladesh,NA,NA,Date palm sap,NA,1,1,NA,NA,TRUE,NA,2,NA,NA,NA,NA,NA,NA,Fourth cluster of cases within the outbreak,Confirmed + Suspected,NA,NA,12,2013,NA,4,2014
