id,covidence_id,pathogen,first_author_first_name,first_author_surname,article_title,doi,journal,year_publication,volume,issue,page_first,page_last,paper_copy_only,notes,qa_m1,qa_m2,qa_a3,qa_a4,qa_d5,qa_d6,qa_d7,qa_notes,double_extracted,article_label
19e5002aa15dcd3a55b31d2ebe69aba0,2931,Nipah virus,B,Nikolay,Transmission of Nipah Virus - 14 Years of Investigations in Bangladesh,10.1056/NEJMoa1805376,N Engl J Med,2019,380,19,1804,1814,NA,Definition of exposure/contact type defined in Table s3.  Sensitivity analysis across different risk factors estimates available in suplement.  Reported exposure of 53 secondary cases to their 19 infectors by day of illness in the infector in supp figure S1.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,0,Nikolay 2019
749a5f15fe3d6b12c84987d2aa16efb8,2954,Nipah virus,S,Wacharapluesadee,Two decades of one health surveillance of Nipah virus in Thailand.,10.1186/s42522-021-00044-9,One Health Outlook,2021,3,1,12,NA,NA,NA,No,Yes,NA,NA,No,No,No,Unclear to what sample the luminex serology assay was applied to - the text differs from the supplement.,0,Wacharapluesadee 2021
c780853e7d07119dd281dd982bc92f0a,2966,Nipah virus,Pragya,Yadav,"Nipah Virus Sequences from Humans and Bats during Nipah Outbreak, Kerala, India, 2018",10.3201/eid2505.181076,Emerging Infectious Diseases,2019,25,5,1003,1006,FALSE,NA,Yes,Yes,NA,NA,Yes,No,No,NA,0,Yadav 2019
e8fcc21cf8f87d3017a94a1c7bfd01d2,2979,Nipah virus,B,Pallivalappil,"Dissecting an Outbreak: A Clinico-epidemiological Study of Nipah Virus Infection in Kerala, India, 2018.",10.4103/jgid.jgid_4_19,J Glob Infect Dis,2020,12,1,21,27,NA,Definition of contact included in the definition of a probable case: 'a probable case is defined as a suspect case who resided in the same village as the confirmed case or who came in direct contact with a confirmed case in a hospital setting during the outbreak period and developed symptoms of respiratory distress and/or encephalitis and died before diagnostic specimen could be collected'. Type of contact per case also included in Table 2.,No,Yes,No,No,Yes,Yes,No,NA,0,Pallivalappil 2020
f39c11cd4e35ece0db19c362ae73d73c,2983,Nipah virus,AK,As,"Clinico-epidemiological presentations and management of Nipah virus infection during the outbreak in Kozhikode district, Kerala state, India 2023.",10.1002/jmv.29559,J Med Virol,2024,96,3,NA,NA,NA,NA,Yes,No,No,No,Yes,No,No,NA,0,As 2024
2644e438e79a4e2c5e6b1b6ae262dd20,2984,Nipah virus,PD,Yadav,"Nipah Virus Outbreak in Kerala State, India Amidst of COVID-19 Pandemic.",10.3389/fpubh.2022.818545,Front Public Health,2022,10,NA,NA,NA,NA,"Contact definition, excerpt from article: 'The close contacts were classified into primary contacts and secondary contacts and were further grouped into high-risk and low-risk contacts. The high- risk category included individuals with either a history of direct contact with body fluids (blood, urine, saliva, vomitus, etc.) of the confirmed NiV case or a probable case that was died without laboratory confirmation or having spent about 12 h nearby or in closed space with confirmed NiV case. The low-risk contacts were categorized as those having contact with the confirmed NiV case through touching or contact with clothes, linen, or any other items'",Yes,Yes,NA,NA,Yes,No,No,NA,0,Yadav 2022
6e3838acf90c09aa8dbf39a8dc7b2854,2991,Nipah virus,A,Latinne,Climate Anomalies and Spillover of Bat-Borne Viral Diseases in the Asia-Pacific Region and the Arabian Peninsula.,10.3390/v14051100,Viruses,2022,14,5,NA,NA,NA,Includes an Event Coincidence Analysis.,Yes,Yes,No,No,Yes,Yes,No,NA,0,Latinne 2022
d2f9e91081dbf71d85472888195eef36,3017,Nipah virus,m y,Khan,Optimal control analysis for the Nipah infection with constant and time-varying vaccination and treatment under real data application,10.1038/s41598-024-68091-6,Scientific Reports,2024,14,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,No,NA,0,Khan 2024
4b9711dab38147e39fb38897df21ab63,3025,Nipah virus,c p girish,Kumar,Infections among Contacts of Patients with Nipah Virus India,10.3201/eid2505.181352,Emerging Infectious Diseases,2019,25,5,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,NA,0,Kumar 2019
cebd940056bc1be8d2e9b1751aa75b8e,3028,Nipah virus,Colin,Carlson,Strategic vaccine stockpiles for regional epidemics of emerging viruses: A geospatial modeling framework,10.1016/j.vaccine.2024.06.019,Vaccine,2024,42,23,NA,NA,FALSE,NA,No,Yes,No,Yes,NA,NA,NA,NA,0,Carlson 2024
e427c5ca74252fa056485d084b3d5d64,3048,Nipah virus,katherine,Royce,Mathematically modeling spillovers of an emerging infectious zoonosis with an intermediate host.,10.1371/journal.pone.0237780,Plos One,2020,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,0,Royce 2020
